Item Code,Brand ,Model,Type,Reel Type,Length,Joint Type,Power,Power Category,Lure Weight,Action,Material,Guide,Reel Seat,Price,Discount,CR,GV,Warranty,After Discount,Final Price,Balance
393275,Lemax,Pro Tiny,Casting,Spinning,"4'6""",2PCS,3 - 6 LB,Ultra Light,0,Moderate - Fast,Graphite,Normal,Normal,RM89,,,RM 10,0,RM 89,RM 79,0
393276,Lemax,Pro Tiny,Casting,Spinning,"5'2""",2PCS,3 - 8 LB,Ultra Light,0,Moderate,Graphite,Normal,Normal,RM95,,,RM 10,0,RM 95,RM 85,0
713705,Ugly Stik,GX2 USG XSP,Casting,Spinning,"4'9""",1PCS,8 - 20 LB,Medium,0,Extra Fast,0,Normal,Normal,RM159,,,RM 10,0,RM 159,RM 149,0
393416,Lemax,Japan Finnesse Hunter,Casting,Spinning,"5'2""",BJ,3 - 10 LB,Light,0,Slow,Carbon,Normal,Normal,RM99,,,RM 10,0,RM 99,RM 89,0
393461,Lemax,Royal President,Casting,Spinning,"5'2""",2PCS,6 - 12 LB,Medium,0,Fast,Graphite,SiC,Normal,RM95,,,RM 10,0,RM 95,RM 85,0
393025,Lemax,Bomber Max,Casting,Spinning,5',2PCS,6 - 14 LB,Medium,0,Extra Fast,Graphite,Normal,Normal,RM69,,,,0,RM 69,RM 69,0
393564,Lemax,River Monster,Casting,Spinning,5',2PCS,6 - 12 LB,Medium,0,Fast,Graphite,Normal,Normal,RM125,RM 20,,RM 10,0,RM 105,RM 95,0
843141,Bullzen,Dark Fire,Casting,Spinning,5',2PCS,6 - 12 LB,Medium,0,Moderate - Fast,0,Normal,Normal,RM180,,,RM 10,0,RM 180,RM 170,0
393572,Lemax,Raptor-X,Casting,Spinning,"5'6""",2PCS,6 - 15 LB,Medium,0,Fast,0,SiC,Normal,RM89,,,RM 10,0,RM 89,RM 79,0
393565,Lemax,River Monster,Casting,Spinning,"5'6""",2PCS,6 - 15 LB,Medium,0,Fast,0,Normal,Normal,RM130,RM 20,,RM 10,0,RM 110,RM 100,0
543895,Shimano,FX,Casting,Spinning,"5'6""",2PCS,6 - 14 LB,Medium,0,Moderate - Fast,Aeroglass,Normal,Normal,RM45,,,,0,RM 45,RM 45,0
863048,Extend,Shark 13,Casting,Spinning,"5'6""",2PCS,5 - 12 LB,Medium,0,Fast,Carbon,Fuji,Fuji,RM96,,,RM 10,3M,RM 96,RM 86,0
863167,Extend,Shark 12,Casting,Spinning,"5'6""",2PCS,4 - 12 LB,Medium,0,Fast,Carbon,Fuji,Fuji,RM96,,,RM 10,3M,RM 96,RM 86,0
2,Extend,Shark 14,Casting,Spinning,"5'6""",2PCS,5 - 12 LB,Medium,0,Fast,Carbon,Fuji,Fuji,RM96,,,RM 10,3M,RM 96,RM 86,0
393417,Lemax,Japan Finnesse Hunter,Casting,Spinning,"5'6""",BJ,4 - 12 LB,Medium,0,Moderate,Carbon,Normal,Normal,RM109,,,RM 10,0,RM 109,RM 99,0
393277,Lemax,Pro Tiny,Casting,Spinning,"5'6""",2PCS,4 - 10 LB,Light,0,Moderate - Fast,Graphite,Normal,Normal,RM99,,,RM 10,0,RM 99,RM 89,0
393242,Lemax,Platinum Gold Medal,Casting,Spinning,"5'6""",2PCS,4 - 10 LB,Light,0,Moderate - Fast,Graphite,Normal,Normal,RM105,,,RM 10,0,RM 105,RM 95,0
2,Ugly Stik,GX2 USG XSP,Casting,Spinning,"5'6""",2PCS,4 - 10 LB,Light,0,Slow - Moderate,Carbon,Normal,Normal,RM140,,,RM 10,0,RM 140,RM 130,0
843095,Bullzen,Zeus,Casting,Spinning,5',2PCS,12 - 25 LB,Medium Heavy,0,Fast,0,Fuji,Fuji,RM209,,,RM 20,0,RM 209,RM 189,0
103565,Seahawk,Power Seven,Casting,Spinning,5',2PCS,8 - 17 LB,Medium,0,Fast,0,Normal,Normal,RM49,,,,0,RM 49,RM 49,0
843134,Bullzen,Camo Blade XLE,Casting,Spinning,5',2PCS,6 - 12 LB,Medium,0,Fast,0,Normal,Normal,RM145,,,RM 10,0,RM 145,RM 135,0
103565,Seahawk,Power Seven,Casting,Spinning,5',2PCS,8 - 17 LB,Medium,0,Moderate - Fast,0,Normal,Normal,RM49,,,,0,RM 49,RM 49,0
103611,Seahawk,Blazer,Casting,Spinning,"5'6""",2PCS,5 - 12 LB,Medium,0,Fast,0,Normal,Normal,RM100,,,,0,RM 100,RM 100,0
393620,Lemax,Kingmax Extreme,Casting,Spinning,"5'6""",2PCS,6 - 15 LB,Medium,0,Fast,0,Normal,Normal,RM79,,,,0,RM 79,RM 79,0
393462,Lemax,Royal President,Casting,Spinning,"5'6""",2PCS,6 - 15 LB,Medium,0,Moderate - Fast,Graphite,Normal,Normal,RM99,,,RM 10,0,RM 99,RM 89,0
393444,Lemax,Star President,Casting,Spinning,"6'2""",2PCS,6 - 12 LB,Medium,0,Moderate - Fast,Graphite,Fuji,Fuji,RM150,,,RM 20,0,RM 150,RM 130,0
393502,Lemax,Spy Game,Casting,Spinning,"5'6""",2PCS,6 - 15 LB,Medium,0,Moderate,Graphite,Normal,Normal,RM99,,,RM 10,0,RM 99,RM 89,0
303038,Expert Graphite,Kingston,Casting,Spinning,"5'6""",2PCS,8 - 15 LB,Medium,0,Moderate,Carbon,Fuji,Fuji,RM255,,,RM 20,0,RM 255,RM 235,0
393482,Lemax,Red Diamond,Casting,Spinning,"5'6""",2PCS,7 - 14 LB,Medium,0,Moderate - Fast,Graphite,Normal,Normal,RM109,,,RM 10,0,RM 109,RM 99,0
713706,Ugly Stik,GX2 USG XSP,Casting,Spinning,"5'10""",2PCS,8 - 15 LB,Medium,0,Slow - Moderate,Graphite,Normal,Normal,RM145,,,RM 10,0,RM 145,RM 135,0
2,Extend,Shark 21,Casting,Spinning,"5'10""",2PCS,4 - 12 LB,Medium,0,Fast,Carbon,Fuji,Fuji,RM145,,,RM 10,3M,RM 145,RM 135,0
2,Team Seahawk,Gen Ei,Casting,Spinning,"5'10""",1PCS,4 - 10 LB,Light,0,Moderate - Fast,0,Fuji,Fuji,RM180,,,RM 20,0,RM 180,RM 160,0
2,Awa-Shima,Discovery,Casting,Spinning,6',1PCS,4 - 10 LB,Light,0,Slow - Moderate,0,Normal,Normal,RM235,,,,3M,RM 235,RM 235,0
393528,Lemax,Squid Game,Casting,Spinning,6',2PCS,4 - 10 LB,Light,0,Slow - Moderate,0,Normal,Normal,RM125,,,RM 10,0,RM 125,RM 115,0
393551,Lemax,Grand Storm,Casting,Spinning,6',2PCS,5 - 12 LB,Medium,0,Moderate - Fast,0,Normal,Normal,RM119,,,RM 10,0,RM 119,RM 109,0
863178,Extend,Shark 14,Casting,Spinning,6',0,6 - 14 LB,Medium,5-15g,Fast,Carbon,Fuji,Fuji,RM97,,,RM 10,3M,RM 97,RM 87,-1
123114,Relix,Mega Force,Casting,Spinning,6',0,7 - 15 LB,Medium,10-30g,Moderate,Graphite,Normal,Normal,RM89,,,,0,RM 89,RM 89,0
393238,Lemax,Platinum Gold Medal,Casting,Spinning,6',0,6 - 12 LB,Light,25g,Slow - Moderate,Graphite,Normal,Normal,RM115,,,RM 10,0,RM 115,RM 105,0
543890,Shimano,Stimula,Casting,Spinning,6',0,6 - 10 LB,Light,3/16 - 3/8 oz,Moderate - Fast,Graphite,Normal,Normal,RM79,,,,0,RM 79,RM 79,0
393418,Lemax,Japan Finnesse Hunter,Casting,Spinning,"6'2""",0,5 - 15 LB,Medium,7-20G,Slow - Moderate,Graphite,Normal,Normal,RM119,,,RM 20,0,RM 119,RM 99,0
393278,Lemax,Pro Tiny,Casting,Spinning,"6'2""",0,5 - 12 LB,Light,max 20g,Moderate - Fast,Graphite,Normal,Normal,RM109,,,RM 10,0,RM 109,RM 99,0
263444,Eupro,Thunder Stik,Casting,Spinning,"6'2""",0,8 - 17 LB,Medium,7-28g,Fast,Graphite,Fuji,Normal,RM215,,,RM 10,0,RM 215,RM 205,0
103530,Seahawk,Air Wolf,Casting,Spinning,"6'2""",0,6 - 15 LB,Medium,8-20g,Moderate - Fast,Graphite,Normal,Normal,RM79,0,,,0,RM 79,RM 79,0
113647,Daiwa,25' Crossfire-X,Casting,Spinning,"6'2""",0,6 - 15 LB,Medium,5-21G,Moderate - Fast,Graphite,Titanium,Normal,RM125,,,RM 10,0,RM 125,RM 115,-1
543896,Shimano,FX,Casting,Spinning,6',0,6 - 14 LB,Medium,1/8-1/2,Moderate,Graphite,Normal,Normal,RM50,,,,0,RM 50,RM 50,0
543831,Shimano,23' Vengeance AS,Casting,Spinning,6',0,8 - 17 LB,Medium,7-25G,Fast,Graphite,Fuji,Fuji,RM210,,,,12M,RM 210,RM 210,-2
393444,Lemax,Star President,Casting,Spinning,6',0,6 - 12 LB,Medium,5-20g,Fast,Graphite,Fuji,Normal,RM150,,,RM 20,0,RM 150,RM 130,1
283695,Relix Nusantara,Jangkrik Galapung,Casting,Spinning,6',0,6 - 14 LB,Medium,4-20g,Moderate - Fast,Graphite,Fuji,Normal,RM139,,,,12M,RM 139,RM 139,0
713313,Berkley,17' Bass Patrol,Casting,Spinning,6',0,10 - 25 LB,Medium Heavy,1/4 - 1oz,Fast,Graphite,Normal,Normal,RM159,,,RM 10,0,RM 159,RM 149,0
713710,Ugly Stik,Tiger,Casting,Spinning,6',0,10 - 25 LB,Medium Heavy,1/2-1oz,Fast,Graphite,Fuji,Normal,RM249,,,RM 20,0,RM 249,RM 229,0
843097,Bullzen,Zeus,Casting,Spinning,6',0,12 - 25 LB,Medium Heavy,10-30g,Moderate - Fast,Carbon,Fuji,Normal,RM232,,,RM 20,0,RM 232,RM 212,0
863048,Extend,Shark 13,Casting,Spinning,"5'6""",0,5 - 12 LB,Medium,4-14G,Moderate,Carbon,Fuji,Fuji,RM96,,,RM 10,3M,RM 96,RM 86,0
113331,Daiwa,19' Phantom Catfish,Casting,Spinning,6',0,15 - 30 LB,Medium Heavy,100g,Fast,Graphite,Normal,Normal,RM105,,,RM 10,0,RM 105,RM 95,0
123136,Relix,Fantasy,Jigging/ Bottom,Spinning,6',0,1 - 3 PE,Medium Heavy,15-30G,Fast,Graphite,Normal,Normal,RM130,,,RM 10,0,RM 130,RM 120,0
123135,Relix,Fantasy,Jigging/ Bottom,Spinning,6',0,0.8 - 1.5 PE,Medium,7-60G,Moderate,Graphite,Normal,Normal,RM125,,,RM 10,0,RM 125,RM 115,0
863054,Extend,Blue 70 Series,Casting,Spinning,6',2PCS,1 - 3 LB,Medium Heavy,7-23G,Fast,Carbon,Fuji,Fuji,RM191,,,RM 10,3M,RM 191,RM 181,0
863055,Extend,Blue 70 Series,Casting,Spinning,6',2PCS,2 - 4 LB,Medium Heavy,8-36G,Fast,Carbon,Fuji,Fuji,RM192,,,RM 10,3M,RM 192,RM 182,0
863056,Extend,Blue 70 Series,Casting,Spinning,6',2PCS,3 - 5 LB,Heavy,10-38G,Fast,Carbon,Fuji,Fuji,RM193,,,RM 10,3M,RM 193,RM 183,0
113469,Daiwa,20' Phantom,Casting,Spinning,6',0,20 - 40 LB,Heavy,120G,Fast,Graphite,Fuji,Normal,RM165,,,RM 10,0,RM 165,RM 155,-1
283699,Relix Nusantara,Jawara Blue Candy,Casting,Spinning,6',0,8 - 17 LB,Medium,7-28G,Fast,Graphite,Fuji,Normal,RM219,,,,12M,RM 219,RM 219,0
283700,Relix Nusantara,Jawara Blue Candy,Casting,Spinning,6',0,10 - 20 LB,Medium Heavy,10-35G,Fast,Graphite,Fuji,Normal,RM209,,,,12M,RM 209,RM 209,0
283704,Relix Nusantara,Kanera Orange,Jigging/ Bottom,Spinning,"5'6""",0,1 - 2.5 PE,Medium Heavy,7-30G,Fast,Graphite,Fuji,Normal,RM209,,,,12M,RM 209,RM 209,0
843096,Bullzen,Zeus,Casting,Spinning,"5'6""",0,12 - 25 LB,Medium Heavy,10-30G,Fast,Carbon,Fuji,Normal,RM223,,,RM 20,0,RM 223,RM 203,0
393242,Lemax,Platinum Gold Medal,Casting,Spinning,"5'6""",0,4 - 10 LB,Light,18G Max,Slow - Moderate,Graphite,Normal,Normal,RM105,,,RM 10,0,RM 105,RM 95,0
103566,Seahawk,Power Seven,Casting,Spinning,"5'6""",0,8 - 17 LB,Medium,10-25G,Slow - Moderate,Graphite,Normal,Normal,RM55,,,,0,RM 55,RM 55,0
263427,Eupro,Tropical,Casting,Spinning,"5'10""",0,8 - 20 LB,Medium Heavy,7-20G,Moderate,Carbon,Normal,Normal,RM135,,,RM 10,0,RM 135,RM 125,0
263295,Eupro,Confidence,Casting,Spinning,"5'6""",0,8 - 17 LB,Medium,20G max,Moderate - Fast,Graphite,Normal,Normal,RM140,,,RM 10,0,RM 140,RM 130,0
713006,Abu Garcia,24' Revo X,Casting,Spinning,"5'6""",0,8 - 16 LB,Medium,7-18G,Moderate,Graphite,Normal,Normal,RM165,,,RM 10,0,RM 165,RM 155,0
263018,Eupro,Conquerer,Casting,Spinning,6',2PCS,10 - 20 LB,Medium Heavy,0,Fast,Graphite,Normal,Normal,0,,,RM 10,0,RM 135,RM 125,0
263450,Eupro,Twin Craft XDG2,Casting,Spinning,6',2PCS,10 - 22 LB,Medium Heavy,10-35g,Fast,Graphite,Normal,Normal,0,,,RM 10,0,RM 130,RM 120,0
263085,Eupro,Cyclone,Casting,Spinning,6',2PCS,10 - 20 LB,Medium Heavy,0,Fast,Graphite,Normal,Normal,0,,,RM 10,0,RM 125,RM 115,0
263457,Eupro,Confidence,Casting,Spinning,6',2PCS,10 - 20 LB,Medium Heavy,25g max,Fast,Graphite,Normal,Normal,RM145,,,RM 10,0,RM 145,RM 135,0
283697,Relix Nusantara,Jangkrik Galapung,Casting,Spinning,6',2PCS,10 - 20 LB,Medium Heavy,10-35g,Fast,Graphite,Fuji,Normal,RM149,,,,12M,RM 149,RM 149,0
283662,Gtech,Poison Bait,Casting,Spinning,6',1PCS,10 - 20 LB,Medium Heavy,10-20g,Fast,Carbon,SiC,Normal,RM195,,,RM 20,0,RM 195,RM 175,0
113648,Daiwa,Crossfire-X,Casting,Spinning,6',2PCS,10 - 20 LB,Medium Heavy,7-28g,Fast,Graphite,Normal,Normal,RM125,,,RM 10,0,RM 125,RM 115,-2
433085,Kyoda,Dark Water,Casting,Spinning,6',2PCS,8 - 17 LB,Medium,5/8-1 1/9oz,Fast,Carbon,SiC,Fuji,RM390,,,RM 10,0,RM 390,RM 380,0
393199,Lemax,Starevo,Casting,Spinning,6',2PCS,6 - 15 LB,Medium,8-20g,Moderate - Fast,Graphite,Fuji,Normal,RM129,,,RM 10,0,RM 129,RM 119,0
103629,Seahawk,Solid Strike,Casting,Spinning,6',2PCS,8 - 17 LB,Medium,10-20g,Moderate - Fast,Graphite,Normal,Normal,RM130,,,RM 10,0,RM 130,RM 120,0
713707,Ugly Stik,GX2 USGXSP,Casting,Spinning,6',1PCS,8 - 20 LB,Medium Heavy,0,Moderate - Fast,(Comp),Normal,Normal,RM169,,,,0,RM 169,RM 169,0
393483,Lemax,Red Diamond,Casting,Spinning,6',2PCS,8 - 20 LB,Medium Heavy,6-25g,Moderate,Graphite,Normal,Normal,RM115,,,RM 10,0,RM 115,RM 105,0
393027,Lemax,Bombermax (2 Col),Casting,Spinning,6',2PCS,8 - 20 LB,Medium Heavy,10-35g,Moderate - Fast,Graphite,Normal,Normal,RM75,,,,0,RM 75,RM 75,0
393503,Lemax,Spy Game,Casting,Spinning,6',2PCS,8 - 20 LB,Medium Heavy,10-25g,Fast,Graphite,Normal,Normal,RM109,,,RM 10,0,RM 109,RM 99,0
393495,Lemax,Pacific Bull,Casting,Spinning,6',2PCS,8 - 25 LB,Medium Heavy,10-60g,Moderate,Graphite,Normal,Normal,RM65,,,,0,RM 65,RM 65,0
303039,Expert Graphite,Kingston,Casting,Spinning,6',2PCS,10 - 17 LB,Medium,30g max,Moderate - Fast,Graphite,Fuji,Fuji,RM270,RM 30,,RM 20,12M,RM 240,RM 220,0
303002,Expert Graphite,Kingston,Casting,Spinning,6',2PCS,10 - 20 LB,Medium Heavy,25g max,Fast,Graphite,Fuji,Fuji,RM275,RM 30,,RM 20,12M,RM 245,RM 225,0
393158,Lemax,Royal President,Casting,Spinning,6',2PCS,10 - 20 LB,Medium Heavy,35g max,Fast,Graphite,SiC,Normal,RM109,,,RM 10,0,RM 109,RM 99,0
393365,Lemax,Warrior War,Casting,Spinning,6',2PCS,10 - 20 LB,Medium Heavy,12-40g,Fast,Graphite,SiC,Normal,RM155,RM 20,,RM 10,0,RM 135,RM 125,0
263087,Eupro,Tornado Spin,Casting,Spinning,6',2PCS,10 - 20 LB,Medium Heavy,0,Fast,Graphite,Normal,Normal,RM140,,,RM 10,0,RM 140,RM 130,0
863059,Extend,Blue 70 Series,Casting,Spinning,"6'6""",BJ,30 - 50 LB,Heavy,10-38G,Fast,Carbon,Fuji,Fuji,RM196,,,RM 10,3M,RM 196,RM 186,0
863058,Extend,Blue 70 Series,Casting,Spinning,"6'6""",BJ,20 - 40 LB,Heavy,8-36G,Fast,Carbon,Fuji,Fuji,RM195,,,RM 10,3M,RM 195,RM 185,0
713302,Berkley,24' Fireflex,Casting,Spinning,"6'6""",2PCS,15 - 30 LB,Heavy,14-50G,Fast,Graphite,Normal,Normal,RM169,,,RM 10,0,RM 169,RM 159,0
113332,Daiwa,19' Phantom Catfish,Casting,Spinning,"6'6""",2PCS,15 - 30 LB,Heavy,30G Max,Moderate - Fast,Graphite,Normal,Normal,RM109,,,RM 10,0,RM 109,RM 99,0
113471,Daiwa,20' Phantom Versatile,Casting,Spinning,"6'6""",BJ,20 - 40 LB,Heavy,120G Max,Fast,Graphite,Fuji,Normal,RM175,,,RM 10,0,RM 175,RM 165,0
263371,Eupro,Monster Kingbar,Casting,Spinning,"6'6""",2PCS,15 - 30 LB,Heavy,0,Fast,Graphite,Normal,Normal,RM130,,,RM 10,0,RM 130,RM 120,0
713016,Abu Garcia,18' Promax,Casting,Spinning,"6'6""",2PCS,15 - 30 LB,Heavy,3/8 - 2oz,Fast,Graphite,Normal,Normal,RM195,,,RM 10,0,RM 195,RM 185,0
393243,Lemax,River Monster,Casting,Spinning,6',2PCS,8 - 17 LB,Medium,35G Max,Moderate,Graphite,Normal,Normal,RM150,,,RM 10,0,RM 150,RM 140,0
393458,Lemax,Shadow Walker,Casting,Spinning,6',2PCS,8 - 17 LB,Medium,35G Max,Fast,Graphite,Fuji,Normal,RM135,,,RM 10,0,RM 135,RM 125,0
303058,Expert Graphite,Ultimax Rod,Casting,Spinning,6',2PCS,8 - 17 LB,Medium,7-22G,Fast,Graphite,Fuji,Normal,RM295,,,RM 20,12M,RM 295,RM 275,0
843152,Bullzen,Black Hole CA2,Casting,Spinning,6'3,2PCS,8 - 17 LB,Medium,10-28G,Moderate - Fast,Carbon,Normal,Normal,RM140,,,RM 10,0,RM 140,RM 130,-1
843143,Bullzen,Dark Fire,Casting,Spinning,6',2PCS,8 - 17 LB,Medium,18G Max,Fast,Graphite,Normal,Normal,RM195,,,RM 10,0,RM 195,RM 185,0
263300,Eupro,X-Fury,Casting,Spinning,6',2PCS,8 - 17 LB,Medium,7-23G,Fast,Graphite,Normal,Normal,RM180,,,RM 20,0,RM 180,RM 160,0
713703,Ugly Stik,GX2-USGXSP,Casting,Spinning,"6'6""",2PCS,4 - 10 LB,Light,0,Slow,Graphite,Normal,Normal,RM145,,,RM 10,0,RM 145,RM 135,0
824149,Storm,Silver Rage,Casting,Spinning,"6'6""",2PCS,4 - 10 LB,Light,5-10G,Moderate,Graphite,Normal,Normal,RM165,RM 20,,RM 10,0,RM 145,RM 135,0
113426,Daiwa,20' Crossfire-X ULG,Casting,Spinning,"6'6""",2PCS,3 - 8 LB,Ultra Light,2-14G,Fast,Graphite,Titanium,Normal,RM119,,,,0,RM 119,RM 119,0
283719,Gtech,Luna Snow,Casting,Spinning,6'3,2PCS,8 - 17 LB,Medium,5/8 - 1 1/8oz,Fast,Carbon,Normal,Normal,RM240,,,RM 20,0,RM 240,RM 220,0
113564,Daiwa,23' Tornado-X,Casting,Spinning,6'3,2PCS,6 - 16 LB,Medium,6-21G,Fast,Graphite,Fuji,Normal,RM149,,,,0,RM 149,RM 149,0
843151,Bullzen,Black Hole CA2,Casting,Spinning,6'3,2PCS,6 - 12 LB,Light,6-20G,Moderate - Fast,Carbon,Normal,Normal,RM135,,,RM 10,0,RM 135,RM 125,0
863174,Extend,Shark 21,Casting,Spinning,6'3,2PCS,6 - 14 LB,Medium,5-15G,Fast,Carbon,Fuji,Fuji,RM146,,,RM 10,0,RM 146,RM 136,-1
543760,Shimano,Bass One XT 263,Casting,Spinning,6'3,2PCS,4 - 8 LB,Ultra Light,4-12G,Moderate - Fast,Carbon,Fuji,CI4+,RM375,RM 30,,,12M,RM 345,RM 345,0
824122,Rapala,Cloassic Vaaksy,Casting,Spinning,"6'6""",2PCS,4 - 12 LB,Light,3.5-14G,Fast,Graphite,Fuji,Fuji,RM455,RM 40,,RM 30,0,RM 415,RM 385,0
543885,Shimano,Sellus,Casting,Spinning,"6'8""",2PCS,5 - 20 LB,Medium,1/8 - 3/8oz,Fast,Graphite,Normal,Normal,RM155,,,RM 10,0,RM 155,RM 145,0
543891,Shimano,Stimula,Casting,Spinning,"6'6""",2PCS,6 - 10 LB,Light,3/16 - 3/8 oz,Moderate - Fast,Graphite,Normal,Normal,RM95,,,,0,RM 95,RM 95,0
824152,Storm,Silver Rage,Casting,Spinning,"6'6""",2PCS,6 - 12 LB,Medium,5-14G,Fast,Graphite,Normal,Normal,RM165,RM 20,,RM 10,0,RM 145,RM 135,0
